student_id,gender,grade_year,major,sleep_hours,study_hours,phone_hours,exercise_hours,score,gender_code,productive_hours,sleep_sufficient,phone_overuse
S036,여,2,이공계,7.6,2.3,3.6,0.0,67.2,1,2.3,1,0
S037,여,3,인문사회,4.4,4.9,5.9,1.2,77.3,1,6.1000000000000005,0,1
S038,남,1,인문사회,7.0,1.0,1.4,1.3,60.8,0,2.3,1,0
S039,남,4,인문사회,6.0,2.1,0.9,0.2,73.4,0,2.3000000000000003,0,0
S040,여,3,경상,7.8,4.9,3.4,0.2,77.6,1,5.1000000000000005,1,0
S041,남,2,예체능,5.8,5.8,4.1,0.9,78.9,0,6.7,0,1
S042,여,4,인문사회,6.7,4.8,3.5,2.5,83.2,1,7.3,0,0
S043,남,2,이공계,7.4,4.3,0.5,1.0,77.4,0,5.3,1,0
S044,여,4,경상,7.8,4.0,3.4,0.0,76.4,1,4.0,1,0
S045,남,3,경상,5.4,1.8,1.5,1.0,66.9,0,2.8,0,0
S046,여,3,경상,6.4,3.2,4.5,1.0,70.0,1,4.2,0,1
S047,남,1,이공계,6.2,3.7,4.0,0.0,70.3,0,3.7,0,0
S048,여,4,인문사회,6.0,6.4,2.1,1.2,99.1,1,7.6000000000000005,0,0
S049,남,2,이공계,8.9,5.1,2.7,1.0,81.4,0,6.1,1,0
S050,여,1,이공계,7.3,1.3,3.4,1.8,64.9,1,3.1,1,0
S051,여,1,이공계,5.3,5.1,3.4,2.7,75.8,1,7.8,0,0
S052,여,2,인문사회,7.9,3.8,4.9,2.1,70.9,1,5.9,1,1
S053,여,2,예체능,9.3,3.3,2.0,1.0,75.4,1,4.3,1,0
S054,여,3,이공계,8.0,5.6,4.3,0.3,86.7,1,5.8999999999999995,1,1
S055,여,4,인문사회,5.0,6.4,2.7,3.2375,93.6,1,9.6375,0,0
S056,남,1,인문사회,6.2,6.2,2.3,1.2,82.9,0,7.4,0,0
S057,여,3,인문사회,8.3,3.0,3.4,1.2,68.7,1,4.2,1,0
S058,남,1,이공계,6.0,3.9,3.4,1.2,78.3,0,5.1,0,0
S059,남,4,인문사회,7.3,5.1,2.7,1.4,79.5,0,6.5,1,0
S060,남,3,예체능,7.7,6.3,1.7,1.1,93.1,0,7.4,1,0
S061,남,2,이공계,5.7,3.6,6.4,1.2,64.5,0,4.8,0,1
S062,여,3,이공계,6.7,4.2,3.6,0.8,66.6,1,5.0,0,0
S063,여,2,인문사회,6.9,2.5,2.5,1.2,70.8,1,3.7,0,0
S064,여,2,경상,5.6,2.3,3.8,0.8,72.3,1,3.0999999999999996,0,0
S065,여,3,예체능,6.5,6.0,3.3,0.6,79.1,1,6.6,0,0
S066,남,2,예체능,5.3,6.9,3.2,1.3,83.8,0,8.200000000000001,0,0
S067,남,2,인문사회,8.8,4.4,4.4,1.0,78.6,0,5.4,1,1
S068,남,2,인문사회,5.1,6.3,4.6,2.4,82.6,0,8.7,0,1
S069,남,3,이공계,6.3,5.2,2.7,0.0,81.8,0,5.2,0,0
S070,남,2,인문사회,7.0,3.3,2.6,2.1,84.9,0,5.4,1,0
S071,남,1,경상,8.5,5.2,3.1,2.2,84.1,0,7.4,1,0
S072,여,3,인문사회,5.1,7.3,0.5,0.0,86.8,1,7.3,0,0
S073,여,3,경상,8.2,4.4,1.2,0.9,76.5,1,5.300000000000001,1,0
S074,여,1,예체능,6.8,7.3,5.6,1.2,80.7,1,8.5,0,1
S075,여,1,이공계,5.6,0.5,6.0,0.1,49.2,1,0.6,0,1
S076,여,1,경상,7.4,6.0,3.1,0.6,93.1,1,6.6,1,0
S077,남,2,이공계,7.0,4.7,4.4,0.3,71.9,0,5.0,1,1
S078,여,2,인문사회,6.1,4.0,4.0,2.6,75.1,1,6.6,0,0
S079,여,3,이공계,6.9,4.7,7.1499999999999995,1.9,68.4,1,6.6,0,1
S080,남,3,이공계,6.3,0.9,5.2,2.2,63.4,0,3.1,0,1
S081,남,3,인문사회,6.9,4.1,3.3,1.8,89.0,0,5.8999999999999995,0,0
S082,여,2,이공계,7.6,5.1,2.1,0.3,80.1,1,5.3999999999999995,1,0
S083,남,3,인문사회,8.7,7.2,1.1,0.8,94.2,0,8.0,1,0
S084,여,2,인문사회,5.3,3.6,3.8,1.6,74.9,1,5.2,0,0
S085,여,4,이공계,9.4,3.0,2.4,0.2,79.1,1,3.2,1,0
S086,남,3,이공계,4.5,3.6,1.4,1.8,83.1,0,5.4,0,0
S087,남,1,인문사회,6.6,6.1,2.5,1.2,88.4,0,7.3,0,0
S088,남,3,이공계,7.5,5.1,1.9,1.2,81.8,0,6.3,1,0
S089,남,2,예체능,6.9,3.5,6.0,1.2,71.1,0,4.7,0,1
S090,남,3,예체능,6.1,5.4,4.8,1.6,82.6,0,7.0,0,1
S091,여,1,경상,6.6,4.7,3.5,0.9,80.6,1,5.6000000000000005,0,0
S092,남,1,예체능,6.2,6.2,5.7,2.1,82.4,0,8.3,0,1
S093,여,4,인문사회,6.1,3.2,3.6,0.3,73.4,1,3.5,0,0
S094,남,1,예체능,7.8,3.9,2.2,1.7,85.2,0,5.6,1,0
S095,여,3,이공계,7.2,3.8,5.8,1.7,76.8,1,5.5,1,1
S096,남,1,이공계,6.0,1.9,4.3,1.0,64.3,0,2.9,0,1
S097,남,3,예체능,7.9,5.0,1.9,1.5,83.9,0,6.5,1,0
S098,여,3,인문사회,7.2,5.0,7.1499999999999995,0.2,79.2,1,5.2,1,1
S099,여,2,예체능,7.8,4.5,2.2,1.9,88.4,1,6.4,1,0
S100,남,2,경상,7.6,4.1,1.4,1.1,76.3,0,5.199999999999999,1,0
S101,여,1,경상,5.8,2.0,4.9,0.8,61.5,1,2.8,0,1
S102,남,1,경상,6.1,3.7,6.4,2.0,65.0,0,5.7,0,1
S103,남,2,인문사회,7.7,3.9,3.4,0.6,79.3,0,4.5,1,0
S104,남,3,이공계,7.5,3.1,4.3,0.1,74.3,0,3.2,1,1
S105,남,4,인문사회,6.8,4.2,2.5,0.0,76.5,0,4.2,0,0
S106,여,4,인문사회,6.9,5.2,2.8,1.7,82.7,1,6.9,0,0
S107,남,3,인문사회,8.3,7.9,2.6,0.2,88.2,0,8.1,1,0
S108,남,3,예체능,6.1,4.8,2.2,2.6,85.4,0,7.4,0,0
S109,여,3,예체능,7.5,5.0,3.6,0.0,81.1,1,5.0,1,0
S110,여,1,인문사회,6.6,4.4,2.3,2.6,91.1,1,7.0,0,0
S111,남,4,이공계,6.5,1.0,3.9,1.4,58.4,0,2.4,0,0
S112,여,3,인문사회,8.1,4.5,3.4,1.1,79.9,1,5.6,1,0
S113,남,2,이공계,7.8,4.6,3.1,0.8,80.2,0,5.3999999999999995,1,0
S114,여,1,경상,7.8,8.612500000000002,2.1,1.5,100.0,1,10.112500000000002,1,0
S115,여,2,이공계,8.4,4.2,2.6,1.2,79.2,1,5.4,1,0
S116,여,2,이공계,6.8,5.0,3.4,2.1,79.3,1,7.1,0,0
S117,남,4,이공계,7.6,4.4,4.3,1.3,79.3,0,5.7,1,1
S118,남,2,인문사회,6.4,2.4,2.0,1.3,70.8,0,3.7,0,0
S119,남,2,인문사회,7.2,6.6,3.6,0.9,83.6,0,7.5,1,0
S120,남,4,이공계,6.6,5.9,4.6,1.2,80.8,0,7.1000000000000005,0,1
S121,남,1,이공계,6.9,5.9,1.0,1.4,94.5,0,7.300000000000001,0,0
S122,여,2,인문사회,7.5,2.9,4.3,0.0,61.8,1,2.9,1,1
S123,남,1,이공계,5.8,7.0,2.5,0.1,87.4,0,7.1,0,0
S124,남,3,예체능,9.3,2.0,4.4,1.8,65.3,0,3.8,1,1
S125,여,4,인문사회,5.6,5.6,2.4,1.3,87.9,1,6.8999999999999995,0,0
S126,남,1,인문사회,5.3,8.4,0.8,1.1,89.8,0,9.5,0,0
S127,여,4,이공계,8.2,2.7,1.1,1.2,73.7,1,3.9000000000000004,1,0
S128,남,1,경상,7.7,3.5,3.6,1.2,75.9,0,4.7,1,0
S129,남,4,인문사회,7.5,4.7,3.9,0.8,85.1,0,5.5,1,0
S130,남,3,예체능,6.9,3.6,2.1,0.6,75.6,0,4.2,0,0
S131,남,3,이공계,6.8,1.7,4.5,1.4,59.4,0,3.0999999999999996,0,1
S132,여,1,인문사회,5.7,4.6,1.0,0.4,88.9,1,5.0,0,0
S133,남,4,이공계,6.9,2.6,3.4,1.5,61.6,0,4.1,0,0
S134,여,3,인문사회,6.0,5.4,1.7,0.0,70.2,1,5.4,0,0
S135,남,2,경상,8.0,2.8,2.5,2.0,76.8,0,4.8,1,0
S136,남,3,인문사회,6.6,7.3,3.6,1.6,86.7,0,8.9,0,0
S137,여,1,이공계,5.8,3.1,2.2,1.4,66.5,1,4.5,0,0
S138,남,4,이공계,6.4,3.9,2.9,2.0,79.3,0,5.9,0,0
S139,여,1,인문사회,7.3,6.0,5.0,2.5,84.0,1,8.5,1,1
S140,여,3,이공계,6.1,2.3,2.6,1.2,65.7,1,3.5,0,0
S141,여,2,이공계,5.8,4.9,4.8,0.0,65.7,1,4.9,0,1
S142,여,1,예체능,7.1,6.9,1.8,0.2,94.3,1,7.1000000000000005,1,0
S143,남,1,인문사회,7.1,1.6,4.3,0.7,64.9,0,2.3,1,1
S144,남,1,이공계,6.2,4.8,5.7,1.2,71.8,0,6.0,0,1
S145,남,2,경상,6.2,5.0,0.5,1.6,94.1,0,6.6,0,0
S146,여,2,이공계,7.1,5.9,2.3,0.6,79.8,1,6.5,1,0
S147,여,2,경상,5.1,2.3,4.4,1.3,54.1,1,3.5999999999999996,0,1
S148,남,1,이공계,5.1,2.1,3.2,0.6,59.2,0,2.7,0,0
S149,여,1,경상,5.9,5.4,4.1,0.7,77.1,1,6.1000000000000005,0,1
S150,남,3,인문사회,6.9,5.0,2.6,1.2,80.1,0,6.2,0,0
S151,여,1,경상,7.2,5.0,3.6,0.5,76.7,1,5.5,1,0
S152,남,4,경상,8.6,5.1,3.4,0.1,83.2,0,5.199999999999999,1,0
S153,여,4,이공계,7.8,3.3,5.3,0.4,61.7,1,3.6999999999999997,1,1
S154,여,3,경상,6.6,4.9,3.9,2.0,85.8,1,6.9,0,0
S155,남,2,인문사회,6.8,5.0,4.0,0.4,76.3,0,5.4,0,0
S156,남,4,인문사회,5.6,3.2,2.9,3.2375,78.7,0,6.4375,0,0
S157,남,1,이공계,6.9,7.9,2.8,1.6,95.6,0,9.5,0,0
S158,남,1,인문사회,6.5,5.4,2.9,1.3,83.7,0,6.7,0,0
S159,남,1,이공계,6.9,2.4,4.1,0.5,68.2,0,2.9,0,1
S160,여,3,인문사회,5.8,5.7,2.9,1.8,84.6,1,7.5,0,0
S161,여,1,인문사회,7.4,2.7,3.9,0.7,71.4,1,3.4000000000000004,1,0
S162,여,2,예체능,8.6,5.9,6.6,1.3,86.2,1,7.2,1,1
S163,남,4,경상,6.7,6.6,4.8,3.2,86.9,0,9.8,0,1
S164,여,4,인문사회,7.3,3.0,3.0,1.1,75.3,1,4.1,1,0
S165,여,2,이공계,7.6,6.2,5.3,2.1,82.9,1,8.3,1,1
S166,남,1,이공계,6.3,5.2,2.9,0.6,86.8,0,5.8,0,0
S167,여,3,이공계,7.1,6.0,0.5,1.2,86.9,1,7.2,1,0
S168,여,2,이공계,6.8,7.9,2.0,2.6,100.0,1,10.5,0,0
S169,남,1,이공계,6.9,4.1,0.7,0.7,80.0,0,4.8,0,0
S170,남,1,이공계,5.9,3.1,3.0,2.6,65.0,0,5.7,0,0
S171,남,4,경상,6.9,2.9,3.5,1.8,70.9,0,4.7,0,0
S172,남,3,인문사회,7.4,3.0,6.0,0.8,61.4,0,3.8,1,1
S173,여,3,이공계,8.5,4.4,4.0,1.7,83.0,1,6.1000000000000005,1,0
S174,여,4,인문사회,8.0,5.1,3.2,2.0,80.1,1,7.1,1,0
S175,여,2,이공계,9.4,5.0,4.7,1.7,79.3,1,6.7,1,1
S176,남,2,인문사회,5.9,6.0,0.5,0.0,77.0,0,6.0,0,0
S177,남,2,인문사회,7.8,4.5,3.9,0.6,74.7,0,5.1,1,0
S178,여,2,인문사회,7.0,7.1,4.7,1.0,73.8,1,8.1,1,1
S179,여,2,인문사회,9.4,4.0,1.3,1.1,76.0,1,5.1,1,0
S180,남,3,경상,5.8,8.612500000000002,5.2,1.7,97.6,0,10.312500000000002,0,1
S181,여,3,경상,5.8,5.6,4.0,1.2,82.9,1,6.8,0,0
S182,여,4,인문사회,6.9,3.0,2.9,1.2,70.2,1,4.2,0,0
S183,남,2,인문사회,4.3,2.6,4.4,1.5,56.9,0,4.1,0,1
S184,남,3,인문사회,6.9,5.4,6.9,1.7,72.4,0,7.1000000000000005,0,1
S185,여,3,이공계,5.9,4.1,3.8,1.6,73.2,1,5.699999999999999,0,0
S186,남,2,인문사회,7.0,5.8,3.9,2.1,77.4,0,7.9,1,0
S187,남,3,이공계,7.2,5.4,2.8,1.9,91.2,0,7.300000000000001,1,0
S188,남,1,인문사회,9.1,4.4,2.2,1.6,87.8,0,6.0,1,0
S189,남,2,인문사회,7.9,3.0,4.7,1.1,67.9,0,4.1,1,1
S190,여,1,이공계,6.9,1.8,2.2,0.0,64.2,1,1.8,0,0
S191,여,2,경상,5.7,3.7,3.6,1.5,72.4,1,5.2,0,0
S192,남,2,경상,7.4,6.0,2.8,1.4,76.2,0,7.4,1,0
S193,여,3,예체능,5.2,4.9,4.2,1.4,73.0,1,6.300000000000001,0,1
S194,여,4,인문사회,9.0,8.612500000000002,4.0,0.2,64.4,1,8.812500000000002,1,0
S195,여,3,경상,8.2,4.8,5.1,0.3,70.8,1,5.1,1,1
S196,남,3,이공계,6.2,5.2,2.7,2.0,80.2,0,7.2,0,0
S197,남,2,예체능,4.7,2.9,3.1,1.2,75.6,0,4.1,0,0
S198,여,3,이공계,8.4,4.8,2.0,1.7,88.0,1,6.5,1,0
S199,여,1,예체능,6.7,4.6,2.8,1.2,75.5,1,5.8,0,0
S200,남,1,이공계,8.3,2.4,4.1,1.2,71.7,0,3.5999999999999996,1,1
